# wavelength_um,flux_ratio
4.234000e-01,4.736085e-10
4.238236e-01,4.732238e-10
4.242477e-01,4.727956e-10
4.246721e-01,4.723311e-10
4.250970e-01,4.718639e-10
4.255223e-01,4.714039e-10
4.259481e-01,4.709112e-10
4.263742e-01,4.704131e-10
4.268008e-01,4.700154e-10
4.272278e-01,4.695401e-10
4.276553e-01,4.690825e-10
4.280831e-01,4.686350e-10
4.285114e-01,4.681823e-10
4.289402e-01,4.677150e-10
4.293693e-01,4.672730e-10
4.297989e-01,4.668199e-10
4.302289e-01,4.663564e-10
4.306594e-01,4.658940e-10
4.310902e-01,4.654349e-10
4.315215e-01,4.649784e-10
4.319533e-01,4.645259e-10
4.323854e-01,4.640728e-10
4.328180e-01,4.636179e-10
4.332511e-01,4.631717e-10
4.336846e-01,4.627313e-10
4.341185e-01,4.622879e-10
4.345528e-01,4.618484e-10
4.349876e-01,4.614167e-10
4.354228e-01,4.609860e-10
4.358584e-01,4.605509e-10
4.362945e-01,4.601142e-10
4.367310e-01,4.596840e-10
4.371679e-01,4.592543e-10
4.376053e-01,4.588218e-10
4.380432e-01,4.583890e-10
4.384814e-01,4.579541e-10
4.389201e-01,4.575126e-10
4.393593e-01,4.570656e-10
4.397988e-01,4.566282e-10
4.402389e-01,4.561999e-10
4.406793e-01,4.557644e-10
4.411202e-01,4.552876e-10
4.415616e-01,4.547861e-10
4.420033e-01,4.543270e-10
4.424456e-01,4.536494e-10
4.428882e-01,4.530966e-10
4.433313e-01,4.529396e-10
4.437749e-01,4.522312e-10
4.442189e-01,4.520692e-10
4.446633e-01,4.516587e-10
4.451082e-01,4.510542e-10
4.455535e-01,4.506392e-10
4.459993e-01,4.499463e-10
4.464455e-01,4.497214e-10
4.468922e-01,4.492278e-10
4.473393e-01,4.490225e-10
4.477869e-01,4.487012e-10
4.482349e-01,4.483598e-10
4.486834e-01,4.480015e-10
4.491323e-01,4.476340e-10
4.495816e-01,4.472458e-10
4.500314e-01,4.468489e-10
4.504817e-01,4.464852e-10
4.509324e-01,4.461416e-10
4.513836e-01,4.457965e-10
4.518352e-01,4.454240e-10
4.522872e-01,4.450432e-10
4.527397e-01,4.446674e-10
4.531927e-01,4.442698e-10
4.536461e-01,4.439037e-10
4.541000e-01,4.435339e-10
4.545543e-01,4.431668e-10
4.550091e-01,4.427919e-10
4.554643e-01,4.424030e-10
4.559200e-01,4.420015e-10
4.563762e-01,4.416250e-10
4.568328e-01,4.412167e-10
4.572899e-01,4.408747e-10
4.577474e-01,4.404905e-10
4.582053e-01,4.400914e-10
4.586638e-01,4.396864e-10
4.591227e-01,4.392986e-10
4.595820e-01,4.388945e-10
4.600418e-01,4.384912e-10
4.605021e-01,4.381318e-10
4.609628e-01,4.377777e-10
4.614240e-01,4.374194e-10
4.618857e-01,4.370585e-10
